experiment,n_attractions,profile,suite,setup_name,mode,run_count,ok_count,timeout_count,timeout_rate,wall_time_ms_mean,wall_time_ms_std,expanded_nodes_mean,objective_cost_median,peak_memory_mb_mean,optimality_gap_mean,stay_utilization_mean
astar_greedy,6,relaxed,synthetic_main,network_stress,fixture,12,12,0,0.0,0.8414072500121014,0.28161873679154875,9.333333333333334,10341.618427141064,0.0283810297648112,,1.0
astar_greedy,6,tight,synthetic_main,network_stress,fixture,12,12,0,0.0,1.0408010834150143,0.16939202513363683,19.666666666666668,15363.759784615107,0.02654743194580078,,1.0
astar_greedy,9,relaxed,synthetic_main,network_stress,fixture,12,12,0,0.0,5.262987083369808,4.1200656609782165,35.416666666666664,11755.43454085042,0.0918584664662679,,1.0
astar_greedy,9,tight,synthetic_main,network_stress,fixture,12,12,0,0.0,9.59139725004358,1.9401232835263793,158.41666666666666,24113.208737857203,0.07553609212239583,,1.0
astar_greedy,12,relaxed,synthetic_main,network_stress,fixture,12,12,0,0.0,27.53030858339874,18.010248720417646,98.33333333333333,14463.829001203838,0.3490760326385498,,1.0
astar_greedy,12,tight,synthetic_main,network_stress,fixture,12,12,0,0.0,101.61253708326967,28.838076922719956,1166.5,34146.76443247138,0.3971257209777832,,1.0
astar_greedy,15,relaxed,synthetic_main,network_stress,fixture,12,0,12,1.0,,,,,,,
astar_greedy,15,tight,synthetic_main,network_stress,fixture,12,12,0,0.0,1276.7763316666485,266.6953010636783,9457.083333333334,41139.768183001084,2.924788475036621,,1.0
astar_intervals,6,relaxed,synthetic_main,network_stress,fixture,12,12,0,0.0,1.4221041667497047,0.5959530158127222,9.333333333333334,10341.618427141064,0.05018266042073568,,1.0
astar_intervals,6,tight,synthetic_main,network_stress,fixture,12,12,0,0.0,1.0635521667078744,0.16984981401223628,19.666666666666668,15363.759784615107,0.02654743194580078,,1.0
astar_intervals,9,relaxed,synthetic_main,network_stress,fixture,12,12,0,0.0,9.414533416626606,7.831114629078494,35.416666666666664,11755.43454085042,0.24306607246398926,,1.0
astar_intervals,9,tight,synthetic_main,network_stress,fixture,12,12,0,0.0,9.56506291667362,1.8960019493423532,158.41666666666666,24113.208737857203,0.07553609212239583,,1.0
astar_intervals,12,relaxed,synthetic_main,network_stress,fixture,12,12,0,0.0,46.8015836666306,33.164992488380754,98.33333333333333,14463.829001203838,1.0257230599721272,,1.0
astar_intervals,12,tight,synthetic_main,network_stress,fixture,12,12,0,0.0,106.53015974992286,32.77024035645962,1166.5,34146.76443247138,0.39712953567504883,,1.0
astar_intervals,15,relaxed,synthetic_main,network_stress,fixture,12,0,12,1.0,,,,,,,
astar_intervals,15,tight,synthetic_main,network_stress,fixture,12,12,0,0.0,1321.7026067500608,265.09491435320206,9457.083333333334,41139.768183001084,2.924788475036621,,1.0
